dissimilarity,rdm_index,trialno_1,trialno_2,pattern_index_1,pattern_index_2
0.8400298357009888,0,B3,C73,0,49
0.8356231153011322,0,B3,D73,0,50
0.8017077147960663,0,B3,B77,0,51
0.8106085062026978,0,B3,C77,0,52
0.9453123174607754,0,B3,D77,0,53
0.7590374946594238,0,B3,B78,0,54
0.6981077492237091,0,B3,C78,0,55
0.622806191444397,0,B3,D78,0,56
0.9941104305908084,0,B3,B80,0,57
1.0514447577297688,0,B3,C80,0,58
1.0116925342008471,0,B3,D80,0,59
0.7677022069692612,0,B3,B88,0,60
0.7822999656200409,0,B3,C88,0,61
0.6984648406505585,0,B3,D88,0,62
0.9315948560833931,0,B3,B91,0,63
0.9076144099235535,0,B3,C91,0,64
0.9748105015605688,0,B3,D91,0,65
0.6651269793510437,0,B3,B92,0,66
0.7235784232616425,0,B3,C92,0,67
0.7275611758232117,0,B3,D92,0,68
1.0215876046568155,0,B3,B94,0,69
0.9724328853189945,0,B3,C94,0,70
0.9548794738948345,0,B3,D94,0,71
0.7864058464765549,0,B3,B96,0,72
0.7683350592851639,0,B3,C96,0,73
0.8240302056074142,0,B3,D96,0,74
0.30766063928604126,0,C3,D3,1,2
0.7221882045269012,0,C3,B8,1,3
0.8138183951377869,0,C3,C8,1,4
0.7011719346046448,0,C3,D8,1,5
0.7276355028152466,0,C3,B26,1,6
0.7765716165304184,0,C3,C26,1,7
0.7750459909439087,0,C3,D26,1,8
0.8724985271692276,0,C3,B30,1,9
0.8941565081477165,0,C3,C30,1,10
0.9287559017539024,0,C3,D30,1,11
0.8733407258987427,0,C3,B42,1,12
0.8124138861894608,0,C3,C42,1,13
0.8539862185716629,0,C3,D42,1,14
0.7346072196960449,0,C3,B43,1,15
0.782162606716156,0,C3,C43,1,16
0.7769933044910431,0,C3,D43,1,17
0.7035222053527832,0,C3,B51,1,18
0.7072581350803375,0,C3,C51,1,19
0.7429814338684082,0,C3,D51,1,20
0.9107713401317596,0,C3,B52,1,21
